"long","lat","amon"
-96.25,-7.8590377746,1
-90.75,12.1409622254,1
-94.75,14.6409622254,1
-77.75,5.1409622254,1
-95.75,14.1409622254,1
-98.75,15.1409622254,1
-80.75,5.1409622254,1
-81.25,1.6409622254,1
-98.25,-6.8590377746,1
-79.25,8.6409622254,1
-95.25,-3.3590377746,1
-98.75,12.6409622254,1
-96.25,8.1409622254,1
-89.75,-4.3590377746,1
-90.75,-2.8590377746,1
-82.75,-8.8590377746,1
-97.25,8.6409622254,1
-90.25,-4.8590377746,1
-86.25,8.1409622254,1
-80.25,6.6409622254,1
-83.75,-1.3590377746,1
-99.25,-5.8590377746,1
-85.25,-6.8590377746,1
-91.25,3.6409622254,1
-87.75,-2.8590377746,1
-86.75,1.6409622254,1
-79.25,6.6409622254,1
-89.75,6.1409622254,1
-96.75,12.6409622254,1
-85.75,-8.3590377746,1
-90.25,-3.8590377746,1
-97.25,13.1409622254,1
-86.75,3.1409622254,1
-97.25,-4.8590377746,1
-98.75,4.6409622254,1
-79.75,1.6409622254,1
-88.25,-2.3590377746,1
-87.75,-8.3590377746,1
-94.75,-3.3590377746,1
-79.25,4.6409622254,1
-88.75,2.1409622254,1
-90.25,-1.8590377746,1
-94.75,3.1409622254,1
-99.25,-9.8590377746,1
-88.75,-6.8590377746,1
-84.75,6.6409622254,1
-98.25,-4.8590377746,1
-83.25,0.140962225400003,1
-99.75,11.1409622254,1
-90.75,-7.8590377746,1
-96.75,9.6409622254,1
-84.75,1.6409622254,1
-90.25,-2.3590377746,1
-97.25,8.1409622254,1
-84.75,-0.859037774599997,1
-93.25,1.1409622254,1
-92.25,13.6409622254,1
-93.25,11.6409622254,1
-85.75,-6.8590377746,1
-85.25,6.6409622254,1
-87.75,-7.3590377746,1
-88.25,1.6409622254,1
-96.25,12.6409622254,1
-81.25,-4.3590377746,1
-99.25,4.1409622254,1
-91.25,12.6409622254,1
-81.25,2.6409622254,1
-83.75,-4.3590377746,1
-88.25,12.1409622254,1
-92.75,-0.859037774599997,1
-90.25,8.1409622254,1
-82.75,-8.3590377746,1
-98.75,-8.3590377746,1
-98.75,1.6409622254,1
-99.25,-5.3590377746,1
-97.25,10.1409622254,1
-98.75,16.1409622254,1
-98.25,12.6409622254,1
-86.25,7.6409622254,1
-93.25,-8.8590377746,1
-81.25,-6.3590377746,1
-90.25,-7.8590377746,1
-92.75,-9.8590377746,1
-98.75,-9.8590377746,1
-95.75,7.6409622254,1
-82.25,0.640962225400003,1
-80.75,-6.3590377746,1
-82.25,2.1409622254,1
-93.75,9.1409622254,2
-85.25,-4.3590377746,2
-90.75,11.1409622254,2
-94.75,-8.8590377746,2
-85.25,-0.359037774599997,2
-91.75,-1.3590377746,2
-79.75,-8.3590377746,2
-94.75,-2.8590377746,2
-89.75,6.6409622254,2
-96.25,-1.8590377746,2
-84.75,-1.8590377746,2
-79.25,3.6409622254,2
-89.25,0.140962225400003,2
-93.75,4.6409622254,2
-90.25,-9.3590377746,2
-99.25,3.1409622254,2
-87.75,-4.8590377746,2
-95.25,9.6409622254,2
-93.75,12.6409622254,2
-89.25,4.6409622254,2
-81.75,-6.8590377746,2
-91.75,3.6409622254,2
-86.25,-0.859037774599997,2
-95.25,-5.8590377746,2
-93.25,11.1409622254,2
-91.25,2.6409622254,2
-87.75,4.6409622254,2
-98.25,1.1409622254,2
-83.25,-7.8590377746,2
-98.75,7.6409622254,2
-89.75,9.6409622254,2
-95.25,13.6409622254,2
-98.75,12.6409622254,2
-86.25,-1.8590377746,2
-83.75,-2.3590377746,2
-97.25,-3.8590377746,2
-87.75,-3.3590377746,2
-78.75,4.6409622254,2
-79.75,4.1409622254,2
-99.25,-5.3590377746,2
-95.25,5.1409622254,2
-95.25,6.1409622254,2
-90.75,-6.8590377746,2
-96.25,-3.8590377746,2
-92.25,11.1409622254,2
-90.25,-3.3590377746,2
-95.25,3.6409622254,2
-95.25,4.1409622254,2
-93.25,-6.8590377746,2
-79.25,4.6409622254,2
-91.75,5.6409622254,2
-86.25,-8.8590377746,2
-87.75,-4.3590377746,2
