"x","y","t","p","id"
-82.75,-2.3590377746,206,7,1
-83.25,-1.3590377746,207,7,1
-83.25,-1.3590377746,208,7,1
-83.25,-1.3590377746,209,7,1
-82.75,-2.3590377746,210,8,1
-82.75,-2.3590377746,211,8,1
-81.75,-2.8590377746,212,8,1
-81.75,-2.8590377746,213,8,1
-81.75,-2.8590377746,214,8,1
-81.75,-2.8590377746,215,8,1
-81.25,-3.8590377746,216,8,1
-81.25,-3.8590377746,217,8,1
-81.75,-4.3590377746,218,8,1
-82.25,-3.3590377746,219,8,1
-82.25,-2.8590377746,220,8,1
-82.75,-2.3590377746,221,8,1
-83.25,-1.8590377746,222,8,1
-83.75,-1.3590377746,223,8,1
-83.75,-1.3590377746,224,8,1
-82.75,-0.859037774599997,225,8,1
-82.75,-0.859037774599997,226,8,1
-83.25,-1.3590377746,227,8,1
-82.75,-0.859037774599997,228,8,1
-82.25,-0.359037774599997,229,8,1
-82.75,0.140962225400003,230,8,1
-82.75,0.140962225400003,231,8,1
-83.25,0.640962225400003,232,8,1
-82.75,1.1409622254,233,8,1
-83.25,2.1409622254,234,8,1
-83.25,2.1409622254,235,8,1
-83.25,2.6409622254,236,8,1
-83.25,2.6409622254,237,8,1
-86.25,3.1409622254,257,9,2
-86.75,2.6409622254,258,9,2
-87.25,2.1409622254,259,9,2
-87.25,2.1409622254,260,9,2
-87.25,2.1409622254,261,9,2
-86.75,1.6409622254,262,9,2
-87.25,2.6409622254,263,9,2
-87.25,2.6409622254,264,9,2
-87.25,2.6409622254,265,9,2
-87.25,2.6409622254,266,9,2
-87.25,2.6409622254,267,9,2
-87.75,2.6409622254,268,9,2
-87.75,2.6409622254,269,9,2
-88.25,2.6409622254,270,10,2
-87.75,2.1409622254,271,10,2
-87.75,2.1409622254,272,10,2
-87.75,2.1409622254,273,10,2
-87.75,2.1409622254,274,10,2
-86.75,2.1409622254,275,10,2
-86.75,2.1409622254,276,10,2
-86.75,2.1409622254,277,10,2
-86.25,2.6409622254,278,10,2
-86.25,3.1409622254,279,10,2
-86.25,3.1409622254,280,10,2
-85.75,3.6409622254,281,10,2
-86.25,4.6409622254,282,10,2
-87.25,4.1409622254,283,10,2
-87.25,3.6409622254,284,10,2
-87.25,4.1409622254,285,10,2
-86.25,3.1409622254,286,10,2
-95.75,7.6409622254,224,8,3
-96.75,8.6409622254,225,8,3
-96.25,8.6409622254,226,8,3
-95.75,8.1409622254,227,8,3
-94.25,8.1409622254,228,8,3
-94.75,7.6409622254,229,8,3
-94.25,8.1409622254,230,8,3
-95.25,9.1409622254,231,8,3
-95.25,9.6409622254,232,8,3
-95.25,9.6409622254,233,8,3
-95.25,8.6409622254,234,8,3
-95.75,10.1409622254,235,8,3
-94.25,11.1409622254,236,8,3
-95.25,11.6409622254,237,8,3
-96.25,11.6409622254,238,8,3
-96.75,10.6409622254,239,8,3
-97.25,9.6409622254,240,9,3
-79.75,-7.8590377746,11,1,4
-79.75,-7.8590377746,12,1,4
-79.25,-7.8590377746,13,1,4
-78.75,-8.8590377746,14,1,4
-78.75,-8.8590377746,15,1,4
-78.75,-8.8590377746,16,1,4
-79.25,-9.3590377746,17,1,4
-79.25,-9.3590377746,18,1,4
-79.25,-8.8590377746,19,1,4
-79.25,-8.8590377746,20,1,4
-78.75,-8.8590377746,21,1,4
-79.25,-8.3590377746,22,1,4
-79.75,-8.3590377746,23,1,4
-81.75,-8.3590377746,126,5,5
-80.25,-9.3590377746,127,5,5
-80.25,-9.8590377746,128,5,5
-81.25,-9.3590377746,129,5,5
-81.75,-9.3590377746,130,5,5
-81.25,-9.8590377746,131,5,5
-81.25,-9.8590377746,132,5,5
-81.25,-9.8590377746,133,5,5
-81.25,-9.8590377746,134,5,5
-81.25,-9.8590377746,135,5,5
-80.75,-9.8590377746,136,5,5
-80.25,-9.8590377746,137,5,5
-79.75,-9.8590377746,138,5,5
-81.75,-8.8590377746,139,5,5
-81.75,-8.8590377746,140,5,5
-81.25,-9.3590377746,141,5,5
-81.25,-9.3590377746,142,5,5
-80.75,-9.3590377746,143,5,5
-80.75,-9.3590377746,144,5,5
-80.75,-9.8590377746,145,5,5
-80.75,-9.8590377746,146,5,5
-81.25,-1.8590377746,238,8,6
-83.25,-2.8590377746,239,8,6
-83.75,-2.3590377746,240,9,6
-83.75,-3.3590377746,241,9,6
-84.75,-2.3590377746,242,9,6
-84.75,-2.3590377746,243,9,6
-85.25,-2.3590377746,244,9,6
